n,id,cert/cot,cert/clr,cert/v,s,t,geo/0,geo/1
UNITE DE DIALYSE DE LILLE,590044640,A,1,4,3,2,3.082156,50.646853
CLINIQUE FSEF VILLENEUVE D'ASCQ,590044665,B,2,4,3,2,3.14094,50.612635
CHU/ HAD CHRU LILLE,590045407,B,2,4,1,2,3.038593,50.608464
UNITE DE DIALYSE DE TOURCOING,590045514,A,1,4,3,2,3.147161,50.710451
UNITE DE DIALYSE DE MÉRIGNIES,590045951,A,1,4,3,2,3.116058,50.521799
SANTELYS HAD ROUBAIX ET ENVIRONS,590046124,A,1,4,3,2,3.1500634,50.7118129
CENTRE D'AUTODIALYSE MARLY,590046579,A,1,4,3,2,3.563706,50.344441
UNITE D'AUTODIALYSE D'HAZEBROUCK,590046744,A,1,4,3,1,2.5375493999,50.7293141
UNITE DIALYSE DE DOURLERS,590046751,A,1,4,3,1,3.938287,50.174001
UNITE DE DIALYSE DE HOUPLINES,590046769,A,1,4,3,2,2.908508,50.688194
UNITE D'AUTODIALYSE DE FLERS,590047361,A,1,4,3,1,3.06829,50.402489
HOPITAL DE JOUR ALCOOLOGIE,590047718,B,2,4,1,2,3.276559,50.35652
UNITE DE DIALYSE DE GRAVELINES,590047866,A,1,4,3,1,2.120669,50.985001
UNITÉ DE DIALYSE MÉDICALISÉE PROVILLE,590047874,A,1,4,3,1,3.223168,50.15675
CLINIQUE MARIE SAVOIE,590049060,A,1,4,2,2,3.5442349999,50.103942
MAISON MEDICALE JEAN XXIII,590049565,A,1,4,3,2,2.9732348,50.6525603
GCS GHICL CLINIQUE STE MARIE,590052056,A,1,4,3,2,3.2366329999,50.173538
CENTRE ADH D'AUTODIALYSE A DENAIN,590056990,A,1,4,3,1,3.3976493999,50.317329
INSTITUT OPHTALMIQUE,590780060,A,1,4,2,2,3.2772972999,50.3594898
CENTRE LEONARD DE VINCI,590780094,A,1,4,2,2,3.099528,50.33765
CRF HELENE BOREL,590780128,A,1,4,3,2,3.120284,50.442099
CLINIQUE PSY LA MAISON FLEURIE,590780235,A,1,4,2,,3.086999,50.587573
CLINIQUE LILLE SUD,590780250,A,1,4,2,2,3.0888222999,50.5885589
HOPITAL PRIVÉ LE BOIS,590780268,A,1,4,2,3,3.0312880999,50.6342799
GCS GHICL HÔPITAL ST PHILIBERT,590780284,A,1,4,3,3,2.9747389,50.6462691
CLINIQUE AMBROISE PARE,590780342,A,1,4,2,2,3.005012,50.633827
HOPITAL PRIVE LA LOUVIERE,590780383,A,1,4,2,3,3.085745,50.646993
CLINIQUE DU CAMBRESIS,590781571,A,1,4,2,2,3.233424,50.180861
CLINIQUE DU SPORT ET D'ORTHOPEDIE,590781951,A,1,4,2,2,3.1014033999,50.6664835
CRF LE VAL BLEU DE VALENCIENNES,590782181,B,2,4,3,2,3.500864,50.3587
NOUVELLE CLINIQUE DES DENTELLIERES,590782256,A,1,4,2,2,3.511931,50.360397
CLINIQUE SAINT-ROCH,590782280,A,1,4,2,2,3.400941,50.332589
POLYCLINIQUE DU PARC,590782298,A,1,4,2,2,3.549427,50.371753
SAS CLINIQUE DES PEUPLIERS,590782546,A,1,4,2,2,3.155885,50.653717
HOPITAL PRIVE DE VILLENEUVE D'ASCQ,590782553,A,1,4,2,2,3.1533357,50.6316211
SSR PEDIATRIQUE MARC SAUTELET,590782611,A,1,4,3,2,3.143919,50.627188
CTRE DE CONVALESCENCE PONT BERTIN,590782694,A,1,4,3,2,2.891488,50.677661
CENTRE DE SSR LES ABEILLES,590783171,B,2,4,3,2,3.484635,50.161419
UNITE GERONTOLOGIE ET SOINS DE SUITE,590783189,A,1,4,2,2,3.234939,50.407608
NEPHROCARE MAUBEUGE,590784484,B,2,4,2,2,3.988846,50.28391
CHU/ HOP CALMETTE CHR LILLE,590784864,B,2,4,1,2,3.035643,50.607823
CHU/ HOP SWYNGHEDAUW CHR LILLE,590784898,B,2,4,1,2,3.056053,50.606888
DIALYSE A DOMICILE DE LOOS,590784914,A,1,4,3,2,3.035254,50.602218
HOPITAL DE JOUR DE LA M.G.E.N.,590785341,A,1,4,3,2,3.068376,50.63071
CLINIQUE TEISSIER,590785374,A,1,4,3,2,3.4975957,50.3606388
CENTRE L'ADAPT DE CAMBRAI,590785424,A,1,4,3,2,3.255469,50.178768
SSR FILIERIS ESCAUDAIN BOIS DE LA LOGE,590786984,A,1,4,3,2,3.345758,50.339835
CENTRE DE PSYCHIATRIE DE ST SAULVE,590787529,B,2,4,1,2,3.553325,50.380562
CHU/ HOP CARDIOLOGIQUE CHR LILLE,590787586,B,2,4,1,3,3.035643,50.607823
SSR JARDINS DU VELODROME,590788865,B,2,4,1,2,3.210788,50.680396
SARL CLINIQUE DU PARC,590788964,B,2,4,2,2,3.9879121,50.2838279
SSR FILIERIS LALLAING PLAINE DE SCARPE,590790473,A,1,4,3,2,3.173905,50.390948
SAINT ROCH CHIRURGIE,590790655,B,2,4,2,2,3.114379,50.732899
CHU/ CSPA LES BATELIERS CHRU LILLE,590791091,B,2,4,1,2,3.063959,50.646088
CLINIQUE LES BRUYERES,590791109,A,1,4,2,2,3.233508,50.333579
CTRE CONVALESCENCE SSR CH ARMENTIÈRES,590791323,A,1,4,1,2,2.8801088,50.6869541
RESIDENCE MALATRAY CH TOURCOING,590791729,B,2,4,1,2,3.160403,50.722375
CHU/ HOP SALENGRO - HOPITAL B CHR LILLE,590796975,B,2,4,1,3,2.987098,50.63841
SSR FILIERIS FRESNES JARDINS DU TEMPS,590797346,A,1,4,3,2,3.579781,50.432848
GCS GHICL HOPITAL SAINT VINCENT -,590797353,A,1,4,3,3,3.0786894999,50.6211768
CRF L'ESPOIR DE LILLE HELLEMMES,590797387,A,1,4,3,2,3.1217709999,50.6218475
HOPITAL VICTOR PROVO,590801106,B,2,4,1,3,3.171757,50.678772
USLD VILLA COLIBRI,590804340,B,2,4,3,2,2.3965689,51.0382471
CENTRE HOPITALIER DE TOURCOING,590804696,B,2,4,1,3,3.160403,50.722375
CLINIQUE DE LA MITTERIE,590806360,B,2,4,2,2,2.992787,50.6530408
CTRE D'AUTODIALYSE ADH DE DOUAI,590806428,A,1,4,3,2,3.076757,50.363235
CLINIQUE SAINT-ROCH,590809703,A,1,4,2,2,3.246694,50.18947
CENTRE D'AUTODIALYSE ADH DE CAMBRAI,590810099,A,1,4,3,1,3.220977,50.177349
CLINIQUE ST-ROCH CONVALESCENCE,590810784,B,2,4,2,2,3.114379,50.732899
"NEPHOCARE MAUBEUGE, DIALYSE À DOMICILE",590810941,B,2,4,2,,3.9743784,50.2785567
CTRE D'AUTODIALYSE MAUBEUGE,590811006,B,2,4,2,1,3.980753,50.288103
CHU/ HOP CLAUDE HURIEZ CHR LILLE,590811279,B,2,4,1,3,3.036398,50.611787
HOP LA FRATERNITE CH ROUBAIX,590812186,B,2,4,1,2,3.196124,50.682626
SANTELYS HAD LILLE METROPOLE,590812509,A,1,4,3,2,3.035254,50.602218
USLD CH VALENCIENNES,590812749,B,2,4,1,2,3.495825,50.361481
CLINIQUE DE L'ESCREBIEUX,590813069,A,1,4,2,,3.001164,50.374141
CLINIQUE DES HETRES,590813176,B,2,4,2,2,3.5359077,50.1053455
UNITE DE DIALYSE DE MONS EN BAROEUL,590813341,A,1,4,3,1,3.103725,50.643449
NOUVELLE CLINIQUE VILLETTE SA,590813382,A,1,4,2,2,2.39386,51.033966
POLYCLINIQUE DU VAL DE SAMBRE,590813507,B,2,4,2,2,3.9789220999,50.294196
CTRE D'AUTODIALYSE FOURMIES,590813747,B,2,4,2,1,4.051841,50.013215
CTRE D'AUTODIALYSE ADH LA SENTINELLE,590815007,A,1,4,3,1,3.484617,50.350264
CLINIQUE DE FLANDRE,590815056,B,2,4,2,2,2.385527,51.00464
CLINIQUE SAINT AME,590816310,B,2,4,2,2,3.060475,50.35258
CLINIQUE DES HAUTS-DE-FRANCE,590816427,A,1,4,2,2,3.9595019999,50.26374
ETAB HOPALE - CENTRE CLAIR SEJOUR,590817441,B,2,4,3,2,2.7457829999,50.7430067
CLINIQUE DE LA VICTOIRE,590817458,A,1,4,2,2,3.157721,50.716356
CLINIQUE DU VAL DE LYS,590817839,A,1,4,2,2,3.1473972999,50.7247739
CTRE HOSPIT ISARIEN - EPSM DE L'OISE,600000012,B,2,4,1,3,2.415514,49.374965
HL CRÉPY-EN-VALOIS,600000020,A,1,4,1,2,2.888446,49.23425
CH PONT-SAINTE-MAXENCE,600000046,B,2,4,1,2,2.607284,49.295632
CH GHPSO SENLIS,600000053,D,4,4,1,3,2.576313,49.19574
CH CHAUMONT-EN-VEXIN,600000152,B,2,4,1,2,1.8887664999,49.2691391
CH CLERMONT,600000186,B,2,4,1,2,2.410305,49.379025
CH BEAUVAIS,600000194,B,2,4,1,3,2.071931,49.450702
CH CHICN NOYON,600000285,B,2,4,1,2,3.000538,49.586028
CH GHPSO CREIL,600000467,D,4,4,1,3,2.4625449999,49.248713
USLD HL GRANDVILLIERS,600001184,A,1,4,1,2,1.941079,49.665085
UNITÉ DE DIALYSE DE SENLIS,600002067,A,1,4,3,2,2.458167,49.181986
SERVICE HOSPITALISATION A DOMICILE,600003008,B,2,4,3,2,2.453992,49.28533
SARL AMBOISE,600008643,A,1,4,2,2,2.468926,49.26221
UNITÉ DE DIALYSE DE FLEURINES,600008734,A,1,4,3,1,2.592711,49.266608
CLINIQUE EUGENIE,600009054,A,1,4,2,2,2.9781976,49.3474567
SSR HL CRÈVECOEUR-LE-GRAND,600010094,A,1,4,1,2,2.076499,49.608279
HAD CHICN COMPIÈGNE,600010102,B,2,4,1,2,2.7894952,49.3841818
SAS CENTRE CHIRURGICAL DE CHANTILLY,600010862,B,2,4,2,2,2.458167,49.181986
CHU/ CH APHP LIANCOURT (APHP),600100101,B,2,4,1,2,2.465347,49.33077
CENTRE MÉDICO-CHIRURGICAL DES JOCKEYS,600100168,B,2,4,3,2,2.458167,49.181986
CLINIQUE DU VALOIS,600100184,B,2,4,2,2,2.572361,49.196335
LE CHATEAU DU TILLET,600100275,B,2,4,3,2,2.356704,49.273151
CLINIQUE DE RÉÉDUCATION A DE ROTHSCHIL,600100283,B,2,4,3,2,2.4583545,49.1881709
SSR CRF LAMORLAYE,600100309,A,1,4,3,2,2.4524854999,49.161991
SSR BTP SAINT-OMER-EN-CHAUSSÉE,600100671,B,2,4,3,2,1.986846,49.533394
POLYCLINIQUE SAINT CÔME,600100754,A,1,4,2,2,2.807134,49.403577
CTRE RÉÉDUC & RÉADAPT FONCTIONELLE,600100796,B,2,4,3,2,1.8820658,49.2597171
SSR LNA BRETEUIL,600100861,B,2,4,2,2,2.2985310999,49.6313366
SSR UGECAM BEAUVAIS,600101679,B,2,4,3,2,2.1138043999,49.4115908
PAVILLON DE LA CHAUSSÉE,600101687,A,1,4,3,2,2.4304027,49.189102
CTRE PRÉVENTION RÉADAPTATION CARDIO.,600101943,B,2,4,3,2,2.991345,49.477834
USLD CONDÉ CHANTILLY,600105381,A,1,4,3,2,2.4641794,49.193251
USLD CH BEAUVAIS,600107494,B,2,4,1,2,2.071341,49.445575
USLD CHICN COMPIÈGNE,600107668,B,2,4,1,2,2.821928,49.409928
UNITE DE DIALYSE DE BEAUVAIS,600109748,A,1,4,3,2,2.072918,49.451634
CLINIQUE DU PARC SAINT-LAZARE,600110175,A,1,4,2,2,2.098241,49.41544
SSR CONDÉ CHANTILLY,600111124,A,1,4,3,2,2.464146,49.193282
CH CHICN COMPIÈGNE,600113476,B,2,4,1,3,2.7894952,49.3841818
CENTRE PSYCHOTHERAPIQUE DE L'ORNE,610000028,B,2,4,1,2,0.079807,48.433147
CENTRE HOSPITALIER DE L'AIGLE,610000044,B,2,4,1,2,0.614189,48.76641
CHICAM - SITE ALENCON,610000051,B,2,4,1,3,0.083782,48.426607
CENTRE HOSPITALIER D'ARGENTAN,610000069,B,2,4,1,2,-0.016397,48.746456
CH MARGUERITE DE LORRAINE-MORTAGNE,610000077,A,1,4,1,2,0.551083,48.522502
HOPITAL LOCAL - BELLEME,610000085,A,1,4,1,2,0.568008,48.374425
CENTRE HOSPITALIER - SEES,610000093,A,1,4,1,2,0.171516,48.601966
CH - VIMOUTIERS,610000101,A,1,4,1,2,0.203439,48.924673
CH JACQUES MONOD - FLERS,610000119,B,2,4,1,2,-0.544199,48.746455
SERVICE D'HOSPITALISATION À DOMICILE,610004269,B,2,4,3,2,-0.019612,48.746004
HOSPITALISATION A DOMICILE - ALENCON,610005837,B,2,4,3,2,0.053689,48.435016
HAD ORNE-EST,610006256,B,2,4,3,2,0.5405097,48.5210794
CLINIQUE D'ALENCON,610006421,A,1,4,2,2,0.0753667999,48.428841
ANIDER - ARGENTAN,610006710,B,2,4,3,1,-0.026614,48.749468
ANIDER - ALENCON,610006728,B,2,4,3,2,0.084264,48.427135
ANIDER - FLERS,610006736,B,2,4,3,2,-0.55194,48.74839
HAD ORNE EST - SITE DE L'AIGLE,610006777,B,2,4,3,2,3.1866667,49.3208333
HAD - LA FERTE MACE (ANTENNE ALENCON),610007155,B,2,4,3,1,-0.356027,48.589377
CHIC DES ANDAINES - DOMFRONT,610780108,B,2,4,1,2,-0.655923,48.590568
CHIC DES ANDAINES - LA FERTE MACE,610780116,B,2,4,1,2,-0.355215,48.593808
CENTRE DE SOINS DE SUITE LE PARC,610780371,B,2,4,3,2,-0.419103,48.551768
CMPR LA CLAIRIERE - FLERS,610780389,B,2,4,3,2,-0.541427399,48.7462232
USLD LES PASTELS - CH ALENCON,610784050,B,2,4,1,2,0.091211,48.417762
CMPR DE BAGNOLES DE L'ORNE,610784423,A,1,4,3,2,-0.424141,48.554271
CENTRE MAUBERT (61G03) - CH FLERS,610788325,B,2,4,1,2,-0.5721465,48.7400641
ETAB HOPALE CTRE CALOT/HELIO,620000026,B,2,4,3,2,1.5664948,50.4133686
CH ARRAS,620000034,B,2,4,1,3,2.757472,50.294464
CH BAPAUME,620000059,B,2,4,1,2,2.8561708,50.1034054
CENTRE HOSPITALIER DU TERNOIS,620000067,B,2,4,1,2,2.3235291999,50.3778144
CH D'HESDIN,620000117,A,1,4,1,2,2.034874,50.372989
CH BETHUNE,620000224,B,2,4,1,3,2.640037,50.529646
CH CARVIN,620000232,B,2,4,1,2,2.959323,50.496479
CH HENIN BEAUMONT,620000240,B,2,4,1,2,2.9462,50.430046
CH LENS,620000257,B,2,4,1,3,2.82118,50.438088
EPSM VAL DE LYS ARTOIS,620000281,B,2,4,1,3,2.538218,50.616934
CH AIRE SUR LA LYS,620000299,B,2,4,1,2,2.400061,50.64165
CH CALAIS,620000323,A,1,4,1,3,1.87468,50.9488
CH REGION DE ST OMER,620000349,B,2,4,1,3,2.3559396,50.4646026
CTRE LA PRESQU'ILE - L'ARCHIPEL,620000596,B,2,0,3,1,2.2380852999,50.7400366
CH BOULOGNE-SUR-MER,620000653,B,2,4,1,3,1.63104,50.722462
INSTITUT ALBERT CALMETTE A CAMIERS,620002154,A,1,4,1,2,1.6273929999,50.564808
CH ARRONDISSEMENT DE MONTREUIL,620003202,B,2,4,1,3,1.639751,50.417526
HOPITAL DE RIAUMONT,620003350,B,2,4,3,3,2.782614,50.418165
POLYCLINIQUE MED CHIR D'HENIN-BEAUMONT,620003376,C,3,4,3,2,2.945541,50.431487
CTRE TRAITEMENT DEPENDANCES CH LENS,620003475,B,2,4,1,2,2.827446,50.43314
ETAB HOPALE - CENTRE SAINTE BARBE,620003822,B,2,4,3,2,2.89308,50.421007
SANTELYS HAD DU BÉTHUNOIS,620003889,A,1,4,3,2,2.549744,50.481572
CTRE PSYCHO MARRONNIERS BULLY,620004838,A,1,4,3,,2.712881,50.463387
CLINIQUE CHIRURGICALE DE SAINT-OMER,620006049,B,2,4,2,2,2.2662199999,50.7301278
UNITE DE DIALYSE DE COQUELLES,620010058,A,1,4,3,2,1.806409,50.927604
HAD CALAIS - SAINT OMER,620010348,A,1,4,3,2,1.8570661999,50.949018
SANTELYS HAD ARTOIS ET TERNOIS,620010389,A,1,4,3,2,2.7189477596,50.2703865
UNITE DE DIALYSE DE BERCK,620011338,A,1,4,3,2,1.565653,50.397707
CLINIQUE MAHAUT DE TERMONDE,620012948,B,2,4,2,2,2.628496,50.535168
HAD DU LITTORAL BOULOGNE MONTREUIL,620013649,B,2,4,3,2,1.877019,50.397534
CENTRE DE SOINS PSY ROGER MISES,620018143,B,2,4,1,2,2.738543,50.292392
CTRE DE DIALYSE A DOMICILE ADH HENIN B,620018705,A,1,4,3,1,2.9780835,50.4067303
CTRE D'AUTODIALYSE ADH DE ST-POL,620020636,A,1,4,3,1,2.327921,50.372327
NEPHROCARE HELFAUT,620024208,B,2,4,2,2,2.247594,50.702458
SAS CLINIQUE DU VIRVAL,620024349,B,2,4,2,2,1.858686,50.95129
POLYCLINIQUE DE LA CLARENCE,620025346,A,1,4,3,2,2.489976,50.477294
CLINIQUE DU LITTORAL,620025387,A,1,4,2,2,1.662155,50.416291
CTRE AUTODIALYSE & UNITE DIALY MED ADH,620025494,A,1,4,3,2,2.675428,50.517926
HOPALE REEDUCATION-CENTRE ARRAS,620026401,B,2,4,3,2,2.757472,50.294464
GCS CENTRE JOLIOT CURIE,620026690,A,1,4,3,1,1.643772,50.725832
UNITE DE DIALYSE DE SAINT-LEONARD,620026997,A,1,4,3,2,1.627965,50.687803
ETABLISSEMENT HOPALE-CENTRE CALVÉ,620027664,B,2,4,3,3,1.562328,50.41153
CLINIQUE LES OYATS,620030726,A,1,4,2,2,1.87468,50.9488
CENTRE D'AUTODIALYSE ADH DE OIGNIES,620031096,A,1,4,3,1,2.99079,50.4681943
CENTRE D'AUTODIALYSE ADH DE ST VENANT,620032706,A,1,4,3,1,2.5492669,50.6237649
CHU/ HOP MARITIME DE BERCK (APHP),620100016,B,2,4,1,2,1.5628386999,50.4044475
HOPITAL PRIVE ARRAS LES BONNETTES,620100099,A,1,4,2,2,2.735799,50.303736
CLINIQUE PSYCHIATRIQUE LE RYONVAL,620100347,B,2,4,3,2,2.767288,50.312359
CLINIQUE DES ACACIAS,620100487,A,1,4,2,2,1.62501,50.505294
CLINIQUE LES DRAGS,620100495,A,1,4,2,2,1.6026289,50.5077691
CLINIQUE ANNE ARTOIS,620100735,B,2,4,2,2,2.629527,50.54014
CLINIQUE AMBROISE PARE,620100750,A,1,4,2,2,2.677967,50.51918
CRF LES HAUTOIS D'OIGNIES,620100842,A,1,4,3,2,2.989116,50.466743
CLINIQUE DES 2 CAPS,620101311,B,2,4,2,2,1.807024,50.924796
HOPITAL PRIVE DE BOIS BERNARD,620101501,A,1,4,2,2,2.91243,50.383746
SSR FILIERIS BULLY LES MINES SURGEON,620102954,A,1,4,3,2,2.71734,50.458308
POLYCLINIQUE DU TERNOIS,620105940,B,2,4,2,2,2.33718,50.387655
CTRE ANTOINE DE SAINT EXUPERY,620105973,B,2,4,3,2,2.815544,50.460683
HOPITAL A DOMICILE REGION DE LENS,620105981,A,1,4,3,2,2.824885,50.440992
SSR FILIERIS BRUAY BUISSIERE ROSERAIE,620106203,A,1,4,3,2,2.550783,50.482213
MAISON SLD LA MANAIE AUCHEL,620106625,A,1,4,3,2,2.48347,50.513373
USLD LES OPALINES - CHAM,620108357,B,2,4,1,2,1.764404,50.465037
USLD CH ARRAS,620111195,B,2,4,1,2,2.738543,50.292392
MAISON DE REPOS MAROEUIL - CH ARRAS,620112656,B,2,4,1,2,2.702913,50.325826
CTRE D'ENTRAIN AUTODIALYSE ST-NICOLAS,620115170,A,1,4,3,2,2.7790466,50.3002407
CENTRE D'AUTODIALYSE ADH DE LENS,620115410,A,1,4,3,2,2.842725,50.447067
CENTRE DE POST-CURE ECOIVRES I,620115584,B,2,4,3,,2.945146,50.311585
ASSOC REGIONALE ESPOIR ET VIE,620115592,B,2,4,3,,2.780039,50.289065
CLINIQUE DES 7 VALLEES,620116046,A,1,4,2,2,2.0265443,50.3669874
CTRE D'AUTODIALYSE ADH SITE ECOPAC,620117309,A,1,4,3,1,2.968849,50.413256
CENTRE D'AUTODIALYSE ADH DE DIVION,620117325,A,1,4,3,2,2.5038039999,50.472062
SSR FILIERIS AUCHEL LA MANAIE,620117606,A,1,4,3,2,2.48347,50.513373
CTRE D'AUTODIALYSE ADH DE LIEVIN,620117812,A,1,4,3,2,2.7823792,50.4148248
CENTRE MCO COTE D'OPALE,620118513,A,1,4,2,2,1.614857,50.723782
CENTRE AUTODIALYSE AIRE/LA LYS,620120063,A,1,4,3,1,2.400061,50.64165
CH DU MONT DORE,630000016,B,2,4,1,2,2.808072,45.574487
CLINIQUE MED CARDIO PNEUMOLOGIE DURTOL,630000131,A,1,4,3,2,3.052656,45.794939
CH ETIENNE CLEMENTEL,630000149,A,1,4,1,2,3.043577671,45.905210269
CHU/ HOPITAL GABRIEL MONTPIED - CHU63,630000404,B,2,4,1,3,3.09447,45.757242
CH D'AMBERT,630000412,B,2,4,1,2,3.740071,45.552895
CH PAUL ARDIER ISSOIRE,630000420,B,2,4,1,2,3.251312,45.541124
CH DE RIOM,630000438,B,2,4,1,2,3.109796,45.891804
CH DE THIERS,630000446,B,2,4,1,2,3.523492,45.855762
CENTRE LUTTE CONTRE LE CANCER J.PERRIN,630000479,A,1,4,3,2,3.09447,45.757242
CENTRE DE REED.FONCT.NOTRE-DAME,630000487,A,1,4,3,2,3.071782,45.777328
CH BILLOM,630000560,B,2,4,1,2,3.34355,45.720476
CTRE D'HEMODIALYSE AURA ARCHE,630005668,A,1,4,3,2,3.105411,45.787418
UNITE DE DIALYSE D'AMBERT,630007698,A,1,4,3,1,3.741632,45.549426
UNITE DE DIALYSE D'ISSOIRE,630007748,A,1,4,3,1,3.251312,45.541124
UNITE DE DIALYSE DU MONT-DORE,630007789,A,1,4,3,1,2.808072,45.574487
UNITE DE DIALYSE DE RIOM,630007839,A,1,4,3,2,3.111256,45.890207
UNITE DE DIALYSE DE THIERS,630007888,A,1,4,3,1,3.523492,45.855762
HAD KORIAN CLERMONT-FERRAND,630008118,B,2,4,2,2,3.133679,45.782878
HAD 63 - SERVICE HAD,630010296,B,2,4,3,2,3.1096629999,45.8293653
CLINIQUE DES 6 LACS,630010510,A,1,4,2,2,3.0604430999,45.7735031
HAD AURASANTE,630010528,A,1,4,3,2,3.160382,45.741122
CHU/ CENTRE DE SOINS DENTAIRES - CHU63,630010536,B,2,0,1,,3.086511,45.773656
SSR AUVERGNE BASSE VISION,630011211,A,1,4,3,1,2.9336,45.5139
UGECAM - SSR NUTRITION - OBESITE,630011823,A,1,4,3,2,3.0864023999,45.7847164
SSR ALTERIS DE CHANAT LA MOUTEYRE,630780179,A,1,4,3,2,3.01497,45.830804
CHS SAINTE-MARIE CLERMONT-FERRAND,630780195,A,1,4,3,3,3.6808419999,45.618299
POLE SANTE REPUBLIQUE,630780211,A,1,4,2,2,3.105411,45.787418
CLINEA - CLINIQUE LES SORBIERS,630780310,A,1,4,2,2,3.252175,45.534782
CLINIQUE DE LA PLAINE,630780369,B,2,4,2,2,3.1086000695,45.80249055
CLINIQUE PSYCHIATRIQUE DE L AUZON,630780401,B,2,4,2,2,3.142423,45.698691
ASSO. LES SAPINS - CENTRE MEDICAL,630780526,B,2,4,3,2,3.063007,45.730666
MECS TZA NOU UGECAM,630780559,A,1,4,3,2,2.735266,45.584275
CHU/ HOPITAL ESTAING - CHU63,630781268,B,2,4,1,3,3.116573,45.781633
CLINIQUE PSYCHIATRIQUE LES QUEYRIAUX,630781417,B,2,4,2,2,3.03312,45.647261
MECS L'ILE AUX ENFANTS,630781433,A,1,4,3,2,2.745076,45.589071
CENTRE MEDICAL INFANTILE DE ROMAGNAT,630781755,B,2,4,3,2,3.09433,45.727116
CHU/ CMP - CHU63,630781771,B,2,4,1,2,3.09447,45.757242
CLINIQUE PSYCHIATRIQUE LE GRAND PRE,630781821,A,1,4,2,2,3.0553308999,45.794982
HOPITAL PRIVE LA CHATAIGNERAIE,630781839,A,1,4,2,2,3.079073,45.749807
CTRE REED FONCT M.GANTCHOULA,630783348,B,2,4,3,2,2.688732,46.10089
CHU/ HOPITAL LOUISE MICHEL - CHU63,630783538,B,2,4,1,2,3.096665,45.831664
AURASANTE CHAMALIERES,630784742,A,1,4,3,2,3.136609,45.825104
CTRE REEDUCATION FONCT.M.BARBAT,630785756,B,2,4,3,2,3.0953634999,45.756091
CENTRE DE LONG SEJOUR,630790384,A,1,4,3,2,3.077748,45.779056
CH DE LA COTE BASQUE - BAYONNE,640000162,B,2,4,1,3,-1.482307,43.483112
CENTRE HOSPITALIER D'ORTHEZ,640000402,B,2,4,1,2,-0.770643,43.485684
CENTRE HOSPITALIER OLORON,640000410,B,2,4,1,2,-0.61904,43.196704
CENTRE HOSPITALIER DE MAULEON,640000428,B,2,4,1,2,-1.743021999,43.333203999
CENTRE HOSPITALIER DES PYRENEES,640000436,B,2,4,1,3,-0.341414,43.304765
CENTRE HOSPITALIER DE PAU,640000600,B,2,4,1,3,-0.347388,43.325729
USLD CLOS DE L'OUSSE,640003836,B,2,4,1,2,-0.120295,43.186644
ANTENNE AUTODIALYSE AURAD ANGLET,640005302,B,2,4,3,2,-1.519252,43.462581
ANTENNE AUTODIALYSE AURAD ST JEAN LUZ,640005310,B,2,4,3,1,-1.638848,43.399286
ANT. AUTODIALYSE NEPHROCARE - ORTHEZ,640005336,A,1,4,2,1,-0.773927899,43.487559999
LES JEUNES CHENES,640005591,A,1,4,2,2,-0.352556,43.3291323
CLINIQUE D'URSUYA,640010518,B,2,4,2,2,-1.385153,43.360353
HAD BEARN ET SOULE,640013298,A,1,4,3,2,-0.6102463,43.1958732
ANT. AUTODIALYSE NEPHROCARE - OLORON,640013520,A,1,4,2,1,-0.612040299,43.1934078
ANTENNE AUTODIALYSE DELAY,640013553,A,1,4,2,1,-1.630733,43.402784
CENTRE DE CARDIOLOGIE DU PAYS BASQUE,640016580,B,2,4,3,2,-1.4805068,43.4820424
CLINIQUE BEAULIEU,640017224,A,1,4,2,2,-1.65406,43.392067
CENTRE HOSPITALIER DE SAINT-PALAIS,640017646,B,2,4,1,2,-1.032305899,43.3270491
ANT AUTODIALYSE NEPHROCARE-PAU NAVARRE,640017679,A,1,4,2,1,-0.3493952,43.324697099
CAPIO CLINIQUE BELHARRA,640018206,B,2,4,2,2,-1.4542463,43.4792433
CLINIQUE CHATEAU CARADOC,640018255,A,1,4,2,2,-1.454553,43.479306
POLYCLINIQUE MARZET - SITE DE NAVARRE,640019220,B,2,4,2,2,-0.2561925,43.1982232
CTRE. READAP. FONCT. LES EMBRUNS,640780185,B,2,4,3,2,-1.593648,43.436902
CLINIQUE DELAY,640780268,A,1,4,2,2,-1.484311,43.479233
CLINIQUE D'AMADE,640780334,A,1,4,2,2,-1.476376,43.504666
CLINIQUE MIRAMBEAU,640780409,A,1,4,2,2,-1.50553,43.477497
CAPIO CLINIQUE AGUILERA,640780490,B,2,4,2,2,-1.539361399,43.4858537
CENTRE MEDICAL TOKI EDER,640780557,A,1,4,3,2,-1.394495,43.361967
CENTRE DE PNEUMOLOGIE LES TERRASSES,640780581,A,1,4,2,2,-1.396243,43.357648
CLINIQUE LA MAISON BASQUE,640780607,A,1,4,2,2,-1.399695,43.360357
CENTRE MEDICAL ANNIE ENIA,640780623,A,1,4,2,2,-1.403821,43.358431
CENTRE GRANCHER-CYRANO,640780631,A,1,4,2,2,-1.399295,43.356506
CENTRE MEDICAL LANDOUZY,640780649,A,1,4,2,2,-1.40326,43.357523
CLINIQUE DE MEDECINE PHYSIQUE MARIENIA,640780672,A,1,4,2,2,-1.399295,43.356506
SSR CONCHA BERRI,640780714,A,1,4,3,2,-1.7616499,43.3641518
POLYCLINIQUE CÔTE BASQUE SUD,640780748,A,1,4,2,2,-1.639619,43.397745
